6/27/2024 1:02:16 PM: Faces:5 | Roll: 5
6/27/2024 1:02:17 PM: Faces:5 | Roll: 3
6/27/2024 1:02:19 PM: Faces:5 | Roll: 2
6/27/2024 1:02:20 PM: Faces:5 | Roll: 5
6/27/2024 1:02:20 PM: Faces:5 | Roll: 5
6/27/2024 1:02:20 PM: Faces:5 | Roll: 5
6/27/2024 1:02:24 PM: Faces:5 | Roll: 2
6/27/2024 1:02:25 PM: Faces:5 | Roll: 3
6/27/2024 1:02:25 PM: Faces:5 | Roll: 2
6/27/2024 1:02:26 PM: Faces:5 | Roll: 1
6/27/2024 1:02:26 PM: Faces:5 | Roll: 4
6/27/2024 1:02:49 PM: Faces:999999999 | Roll: 942959410
